Index:,Rm:Num,Team Number,Team Name,Coach Meeting in Gym,Morning Session 1,Morning Session 2,Morning Session 3,Morning Session 4,Morning Session 5,Morning Session 6,Opening Ceremony,Round 1 Match 1,Round 1 Match 2,Round 1 Match 3,Round 1 Match 4,Round 2 Match 1,Round 2 Match 2,Round 2 Match 3,Round 2 Match 4,Round 3 Match 1,Round 3 Match 2,Round 3 Match 3,Round 3 Match 4,Round 4 Match 1,Round 4 Match 2,Round 4 Match 3,Round 4 Match 4,Round 5 Match 1,Round 5 Match 2,Round 5 Match 3,Round 5 Match 4,Closing Ceremony
0,Rm: 000,,,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:15 PM,12:22 PM,12:29 PM,12:36 PM,12:43 PM,12:50 PM,12:57 PM,1:04 PM,1:11 PM,1:18 PM,1:25 PM,1:32 PM,1:39 PM,1:46 PM,1:53 PM,2:00 PM,2:07 PM,2:14 PM,2:21 PM,2:28 PM,3:00 PM
,RM:105-i,RoboHatters Black,4403,Coach Meeting in Gym,Judge Grp 1,,,Table 1,,,Opening Ceremony,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,,Closing Ceremony
,RM:105-ii,RoboHatters Red,4404,Coach Meeting in Gym,Table 1,,,Judge Grp 1,,,Opening Ceremony,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,Closing Ceremony
,RM:107-i,RoboHatters Grey,4405,Coach Meeting in Gym,,Judge Grp 1,,,Table 1,,Opening Ceremony,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,Closing Ceremony
,RM:107-ii,RoboHatters Blue,11113,Coach Meeting in Gym,,Table 1,,,Judge Grp 1,,Opening Ceremony,,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,,,,Table 1,Closing Ceremony
,RM:109-i,Cruzin' Comets White,66442,Coach Meeting in Gym,,,Judge Grp 1,,,Table 1,Opening Ceremony,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,,Closing Ceremony
,RM:109-ii,Cruzin' Comets Blue,45032,Coach Meeting in Gym,,,Table 1,,,Judge Grp 1,Opening Ceremony,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,Closing Ceremony
,RM:110-i,Corpus Christi,74053,Coach Meeting in Gym,,,Judge Grp 2,,,Table 2,Opening Ceremony,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,Closing Ceremony
,RM:110-ii,Bricktastic Builders,67393,Coach Meeting in Gym,,,Table 2,,,Judge Grp 2,Opening Ceremony,,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,,,,Table 2,Closing Ceremony
,RM:111-i,RoboHuskies,66313,Coach Meeting in Gym,,Judge Grp 2,,,Table 2,,Opening Ceremony,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,,Closing Ceremony
,RM:111-ii,OLGC Cougears,60387,Coach Meeting in Gym,,Table 2,,,Judge Grp 2,,Opening Ceremony,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,Closing Ceremony
,RM:112-i,LC Robotics,32382,Coach Meeting in Gym,Judge Grp 2,,,Table 2,,,Opening Ceremony,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,Closing Ceremony
,RM:112-ii,LC Robotics,32383,Coach Meeting in Gym,Table 2,,,Judge Grp 2,,,Opening Ceremony,,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,,,,Table 3,Closing Ceremony
,RM:114-i,Saint Luke Blue,71108,Coach Meeting in Gym,Judge Grp 3,,,Table 3,,,Opening Ceremony,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,,Closing Ceremony
,RM:114-ii,Saint Luke Gold,60147,Coach Meeting in Gym,Table 3,,,Judge Grp 3,,,Opening Ceremony,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,Closing Ceremony
,RM:116-i,Reynolds Robot Raiders,61191,Coach Meeting in Gym,,Judge Grp 3,,,Table 3,,Opening Ceremony,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,Closing Ceremony
,RM:116-ii,Reading SWMS Robotics Team,65222,Coach Meeting in Gym,,Table 3,,,Judge Grp 3,,Opening Ceremony,,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,,,,Table 4,Closing Ceremony
,RM:201-i,St. Jude Robotics -Alpha,62298,Coach Meeting in Gym,,,Judge Grp 3,,,Table 3,Opening Ceremony,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,,Closing Ceremony
,RM:201-ii,St. Jude Robotics Beta,62299,Coach Meeting in Gym,,,Table 3,,,Judge Grp 3,Opening Ceremony,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,Closing Ceremony
,RM:202-i,St. Jude Robotics Gamma,62300,Coach Meeting in Gym,,,Judge Grp 4,,,Table 4,Opening Ceremony,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,Closing Ceremony
,RM:206-i,Clankers,74588,Coach Meeting in Gym,,,Table 4,,,Judge Grp 4,Opening Ceremony,,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,,,,Table 5,Closing Ceremony
,RM:203-i,Titan Tech,61485,Coach Meeting in Gym,,Judge Grp 4,,,Table 4,,Opening Ceremony,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,,Closing Ceremony
,RM:203-ii,Cryptobots,61197,Coach Meeting in Gym,,Table 4,,,Judge Grp 4,,Opening Ceremony,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,Closing Ceremony
,RM:205-i,WIRED WARRIORS,70512,Coach Meeting in Gym,Judge Grp 4,,,Table 4,,,Opening Ceremony,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,Closing Ceremony
,RM:205-ii,Spark Squad,73356,Coach Meeting in Gym,Table 4,,,Judge Grp 4,,,Opening Ceremony,,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,,,,Table 6,Closing Ceremony
,RM:207-i,Visi-Bots,65257,Coach Meeting in Gym,Judge Grp 5,,,Table 5,,,Opening Ceremony,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,,Closing Ceremony
,RM:207-ii,TOBOR Red,5230,Coach Meeting in Gym,Table 5,,,Judge Grp 5,,,Opening Ceremony,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,Closing Ceremony
,RM:208-i,Robotic Wolves,60879,Coach Meeting in Gym,,Judge Grp 5,,,Table 5,,Opening Ceremony,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,Closing Ceremony
,RM:208-ii,Quaking In Our Bots,65064,Coach Meeting in Gym,,Table 5,,,Judge Grp 5,,Opening Ceremony,,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,,,,Table 7,Closing Ceremony
,RM:209-i,Sauce Soldiers,60357,Coach Meeting in Gym,,,Judge Grp 5,,,Table 5,Opening Ceremony,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,,Closing Ceremony
,RM:209-ii,ORCA,72046,Coach Meeting in Gym,,,Table 5,,,Judge Grp 5,Opening Ceremony,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,Closing Ceremony
,RM:210-i,Jr Javengers,69942,Coach Meeting in Gym,Judge Grp 6,,,Table 6,,,Opening Ceremony,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,Closing Ceremony
,RM:210-ii,,,Coach Meeting in Gym,Table 6,,,Judge Grp 6,,,Opening Ceremony,,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,,,,Table 8,Closing Ceremony
,RM:212-i,,,Coach Meeting in Gym,,Judge Grp 6,,,Table 6,,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,Closing Ceremony
,RM:212-ii,,,Coach Meeting in Gym,,Table 6,,,Judge Grp 6,,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,Closing Ceremony
,RM:216-i,,,Coach Meeting in Gym,,,Judge Grp 6,,,Table 6,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,Closing Ceremony
,RM:216-ii,,,Coach Meeting in Gym,,,Table 6,,,Judge Grp 6,Opening Ceremony,,,,,,,,,,,,,,,,,,,,,Closing Ceremony